child,parent
DB00527,C05AD04
DB11263,Drug
DB01169,L01XX27
DB14487,A16AX05
DB14487,C05AX04
DB14488,B03AD05
DB14488,B03AA03
DB14489,B03AA06
DB15627,L01FF07
DB01179,D06BB04
DB13152,B02BD04
DB13152,B02BD01
DB04209,R02AA02
DB04209,D08AH01
DB04209,G01AC05
DB14481,Drug
DB13151,B02BD03
DB01005,L01XX05
DB01009,M01AE03
DB01009,M01AE53
DB01009,M02AA10
DB00706,G01AE10
DB00706,G04CA52
DB00706,G04CA02
DB00706,G04CA54
DB00706,G04CA53
DB01013,Drug
DB00707,L01XD01
DB01017,D10AF07
DB01017,J01AA08
DB01017,A01AB23
DB01017,J01AA20
DB01014,A07EC04
DB11294,Drug
DB00712,M01AE09
DB00712,M02AA19
DB00712,R02AX01
DB00712,S01BC04
DB00716,S01GX04
DB00716,R03BC03
DB00716,R01AC07
DB00720,M05BA02
DB00723,C01CA10
DB00721,S01HA05
DB00721,N01BA52
DB00721,N01BA02
DB00721,C05AD05
DB00573,M01AE04
DB00570,L01CA01
DB04272,A09AB04
DB16267,Drug
DB00575,S01EA04
DB00575,C02LC51
DB00575,C02AC01
DB00575,C02LC01
DB00575,N02CX02
DB06077,N05AD10
DB00580,M01AH03
DB00586,M01AB55
DB00586,M01AB05
DB00586,S01BC03
DB00586,M02AA15
DB00586,S01CC01
DB00586,D11AX18
DB03615,J01GB10
DB09103,L03AA12
DB00590,C02CA04
DB00591,D07AC04
DB00591,S01CA10
DB00591,S02CA05
DB00591,D07CC02
DB00591,S01BA15
DB00591,S02BA08
DB00591,C05AA10
DB00591,D07BC02
DB00594,C03DB01
DB00774,G01AE10
DB00774,C03AH02
DB00774,C03AA02
DB00774,C03AB02
DB09108,Drug
DB00775,B01AC17
DB15617,Drug
DB02300,D05AX02
DB02300,D05AX52
DB06081,B01AX07
DB06083,Drug
DB01064,R03AK02
DB01064,R03CB01
DB01064,R03CB51
DB01064,C01CA02
DB01064,R03AB02
DB06757,Drug
DB01065,N05CH01
DB09112,V03AB08
DB00783,G03FA09
DB00783,G03FA13
DB00783,G03FB10
DB00783,G03EA01
DB00783,G03FA05
DB00783,G03FB06
DB00783,G03CA53
DB00783,G03FB11
DB00783,G03FB03
DB00783,G03FA01
DB00783,G03FA16
DB00783,G03AA14
DB00783,H01CC54
DB00783,G03FA12
DB00783,G03FB01
DB00783,G03FA04
DB00783,G03FB07
DB00783,G03FB02
DB00783,G03FA17
DB00783,G03HB01
DB00783,G03FA15
DB00783,G03EA03
DB00783,G03FA03
DB00783,G03CA03
DB00783,G03AB08
DB00783,G03FB08
DB00783,G03FA11
DB00783,G03FA08
DB00783,G03FA06
DB00783,G03FB05
DB00783,G03FA14
DB00783,G03EA02
DB00783,G03FB09
DB00783,G02BB01
DB00783,G03FB04
DB00783,G03FA10
DB00783,G03FA02
DB00783,G03FB12
DB00783,G03AA17
DB00783,G03FA07
DB09118,N03AX17
DB01070,A11CC02
DB00784,M01AG01
DB00788,G02CC02
DB00788,M01AE52
DB00788,M02AA12
DB00788,M01AE02
DB00788,M01AE56
DB01073,L01BB05
DB01078,C01AA07
DB09122,L03AB13
DB01076,C10BX03
DB01076,C10BX12
DB01076,C10BX06
DB01076,C10BX15
DB01076,C10AA05
DB01076,C10BA05
DB01076,C10BX18
DB01076,C10BX08
DB01076,C10BX11
DB01077,M05BA01
