node	type
2494	gene
705	gene
2671	gene
5232	gene
2137	gene
2820	gene
2243	gene
152789	gene
10142	gene
5987	gene
5522	gene
80142	gene
10487	gene
8362	gene
55178	gene
539	gene
51234	gene
51290	gene
832	gene
161	gene
1315	gene
53371	gene
871	gene
81562	gene
63892	gene
57130	gene
6444	gene
4055	gene
79443	gene
3615	gene
81608	gene
6744	gene
29927	gene
444	gene
3371	gene
163033	gene
23650	gene
84643	gene
8894	gene
10973	gene
5910	gene
5318	gene
159195	gene
55285	gene
57534	gene
3162	gene
88	gene
55088	gene
57510	gene
7991	gene
146802	gene
231	gene
26015	gene
5966	gene
2801	gene
89790	gene
30835	gene
79133	gene
284184	gene
51594	gene
9183	gene
57690	gene
23019	gene
4848	gene
246175	gene
6390	gene
644096	gene
2534	gene
9743	gene
9755	gene
7415	gene
7993	gene
10212	gene
9124	gene
3552	gene
10456	gene
53918	gene
7099	gene
3964	gene
373	gene
4722	gene
4728	gene
841	gene
8797	gene
4790	gene
4794	gene
51377	gene
5717	gene
5718	gene
56658	gene
5715	gene
51517	gene
6908	gene
6874	gene
8662	gene
8661	gene
4088	gene
11060	gene
11100	gene
10059	gene
9456	gene
7188	gene
149371	gene
10640	gene
23233	gene
10213	gene
5713	gene
22839	gene
274	gene
22916	gene
1499	gene
607	gene
1327	gene
2091	gene
10528	gene
10482	gene
1654	gene
1965	gene
1977	gene
4904	gene
8663	gene
3183	gene
1803	gene
6373	gene
1857	gene
1855	gene
1856	gene
10282	gene
9570	gene
367	gene
8085	gene
5728	gene
8795	gene
8743	gene
1459	gene
30000	gene
5687	gene
5688	gene
4097	gene
571	gene
1386	gene
1649	gene
3437	gene
7170	gene
9020	gene
4792	gene
7248	gene
5970	gene
5515	gene
10245	gene
100287932	gene
8968	gene
8520	gene
7074	gene
8573	gene
23265	gene
3875	gene
5500	gene
4659	gene
1452	gene
9919	gene
5108	gene
80184	gene
10762	gene
3841	gene
10093	gene
10095	gene
10109	gene
10552	gene
1665	gene
6836	gene
8664	gene
8667	gene
27335	gene
9212	gene
332	gene
27161	gene
10526	gene
192669	gene
1317	gene
7098	gene
4210	gene
84619	gene
9894	gene
9675	gene
9129	gene
9128	gene
4724	gene
1406	gene
5709	gene
9444	gene
23543	gene
10026	gene
8733	gene
94005	gene
1613	gene
P62158	gene
9738	gene
5609	gene
10454	gene
64127	gene
8767	gene
10236	gene
596	gene
10018	gene
207	gene
2309	gene
7534	gene
7533	gene
5335	gene
27040	gene
2885	gene
9051	gene
51652	gene
27243	gene
4695	gene
7082	gene
8826	gene
55739	gene
2099	gene
10270	gene
5894	gene
10768	gene
10488	gene
23063	gene
5885	gene
23047	gene
10735	gene
2275	gene
10574	gene
10534	gene
4660	gene
9439	gene
9282	gene
5631	gene
5636	gene
9031	gene
8467	gene
9043	gene
5347	gene
351	gene
196441	gene
10450	gene
9716	gene
7532	gene
23095	gene
3065	gene
7101	gene
5493	gene
11119	gene
7813	gene
1025	gene
904	gene
51574	gene
8985	gene
4615	gene
7097	gene
3717	gene
5795	gene
1500	gene
54951	gene
